ITEM,Model ID,Marketing Model Name,Marketing Description,Description,MODEL YEAR STATUS,Rider Solution,Short Intro Copy,Feature-Benefit #1,Feature-Benefit #2,Feature-Benefit #3,Feature-Benefit #4,Feature-Benefit #5,Feature-Benefit #6,E-BIKE Recommended,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Attribute 11,Attribute 12,Photo1,Photo2,Photo3,Photo4
FW2HRA-105,FW2-HLX-R05,Helix Race 12s 9-50 Cassette,"Helix Race 12s Cassette - 9-50T, Naranja",Helix Race | Cassette | 12 Speed | 9-50T | Naranja,CONTINUED,"Extend your gear range, save weight and improve clearance, while future-proofing your bike with the Helix Race Cassette.","CNC sculpted and engineered cross-experience compatibility with SRAM Eagle™ and Shimano™ 12-speed drivetrains. At 384 grams and 556% range, the 9-50T configuration is the hot setup for your 12 Speed MTB or Gravel bike and allows for a 2-tooth smaller front chainring, shorter chain length, more ground clearance, and higher top-speed with our 9 tooth cog.","Compatible with SRAM™, TRP™ and Shimano™ 12 speed drivetrains",2-piece design allows for replaceable aluminum cogs,Just 384g yet E*spec uprated for E-bike use,Reduces un-sprung rear wheel weight for improved suspension function and handling,e*thirteen’s wider range and 9 tooth cog allows riders to run a 2 tooth smaller chainring for more clearance and reduced weights,XD/XDR Driver required,T,XD Driver,9-50T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"9,11,13,15,17,20,23,27,31,36,42,50",556%,7075 AL / Steel,389g,,Naranja,5 Years,https://drive.google.com/open?id=13trl4OeB9exuZg0t0Nvl4pd8-TBn7Ar0&usp=drive_copy,https://drive.google.com/open?id=1D3wPQYTltVaX5UeabcJ2LICs_4tQGEp3&usp=drive_copy,,https://drive.google.com/open?id=1YkihDc7IrZY8_lVxOPb-YSWOHbC6tvLw&usp=drive_copy
FW2HRA-106,FW2-HLX-R02,Helix Race 11s 9-46 Cassette,"Helix Race 11s Cassette - 9-46T, Intergalactic",Helix Race | Cassette | 11 Speed | 9-46T | Intergalactic,CONTINUED,"Provides Helix level shifting precision, ultralight weight, and cross-compatibility for 11-speed riders.","The Helix Race 11s 9-46T Cassette was engineered as an upgrade to any 11spd SRAM™ or Shimano™ drivetrain. It provides an increased range of 511%, and lighter weight at just 370g, while allowing the use of smaller chainrings for better clearance and further weight savings.","Compatible with SRAM™, TRP and Shimano™ 11 speed drivetrains",2-piece design allows for replaceable aluminum cogs,Reduces un-sprung rear wheel weight for improved suspension function and handling,e*thirteen’s wider range and 9 tooth cog allows riders to run a 2 tooth smaller chainring for more clearance and reduced weights,Extend the life of 11-speed components by adding gear range that approaches 12s capabilities,XD/XDR Driver required,T,XD Driver,9-46T,11 spd,10 Steel / 1 Alloy Cogs,Shimano/Sram/Trp 11sp,"9,11,13,15,17,20,24,28,33,39,46",511%,7075 AL / Steel,384g,,Intergalactic,5 Years,https://drive.google.com/open?id=1uTOjGO1k0YeuawaoXnF81FZtveXXt5v0&usp=drive_copy,https://drive.google.com/open?id=1-goRtaQco0DvvIULJrPi5xQi7yRNvqOv&usp=drive_copy,https://drive.google.com/open?id=1j2yIc_qhJ-MobVogAg6hnnXVCF0llthz&usp=drive_copy,https://drive.google.com/open?id=13kQE-C_lt3Db4QQ1S2B2-hl6R1q9Ns2C&usp=drive_copy
FW2HRA-107,FW2-HLX-R02,Helix Race 11s 9-46 Cassette,"Helix Race 11s Cassette - 9-46T, Bronze",Helix Race | Cassette | 11 Speed | 9-46T | Bronze,CONTINUED,"Provides Helix level shifting precision, ultralight weight, and cross-compatibility for 11-speed riders.","The Helix Race 11s 9-46T Cassette was engineered as an upgrade to any 11spd SRAM™ or Shimano™ drivetrain. It provides an increased range of 511%, and lighter weight at just 370g, while allowing the use of smaller chainrings for better clearance and further weight savings.","Compatible with SRAM™, TRP and Shimano™ 11 speed drivetrains",2-piece design allows for replaceable aluminum cogs,Reduces un-sprung rear wheel weight for improved suspension function and handling,e*thirteen’s wider range and 9 tooth cog allows riders to run a 2 tooth smaller chainring for more clearance and reduced weights,Extend the life of 11-speed components by adding gear range that approaches 12s capabilities,XD/XDR Driver required,T,XD Driver,9-46T,11 spd,10 Steel / 1 Alloy Cogs,Shimano/Sram/Trp 11sp,"9,11,13,15,17,20,24,28,33,39,46",511%,7075 AL / Steel,365g,,Bronze,5 Years,https://drive.google.com/open?id=1YolkINDvbXMtcuylEaFLmWh6XvDJ6uAU&usp=drive_copy,https://drive.google.com/open?id=1_GTbxi9egujkUMWKuXKnS3DJF2fCJiBU&usp=drive_copy,https://drive.google.com/open?id=14JaZlf4pUj6ys9Xitx86YWMqKd6TVfkY&usp=drive_copy,https://drive.google.com/open?id=10FB-OaW20S9PBkgDRwYj35kwvIjRj_Ev&usp=drive_copy
FW2HRA-108,FW2-HLX-A07,Helix Race 12s 13-52 Cassette,"Helix Race 12s Cassette - 13-52T, Bronze",Helix Race | Cassette | 12 Speed | 13-52T | Bronze,CONTINUED,"Optimize cadence and shifts under loads in steep terrain, with a Helix R 13-52T close ratio gearing cassette upgrade for your e-bike or MTB.","Helix R 12s 13-52T Cassettes are a new close-ratio gearing design, engineered specifically to optimize cadence and shift performance under load in steep terrain with frequent climbs and gravity-powered descents. While the close-ratio concept was conceived as a game changer for e-bikes and built exceptionally strong, it's equally at home on mountain bikes and weighs in at an impressive 467g. Offering unparalleled cross-compatibility with all Shimano, Sram, and TRP 12 drivetrains, it features e*thirteen's patented 2pc construction for ease of assembly and service.",Close ratio gearing cassette for optimized cadence and improved shifting under load,Lower fatigue and extended range (Bio or Battery) with sweet spot cadence for max efficiency,Helix R 13-15-17-19-22-25-28-32-36-40-45-52 vs Eagle™ 10-12-14-16-18-21-24-28-32-38-44-52,"Cross-compatibility with Shimano, SRAM, and TRP drivetrains and chains",Aluminum and Steel clusters can be replaced separately to reduce service cost,"Patented two-piece aluminum/steel construction for strength, stiffness, light weight, and durability",T,XD Driver,13-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"13,15,17,19,22,25,28,32,36,40,45,52",400%,7075 AL / Steel,467g,,Bronze,5 Years,https://drive.google.com/open?id=1WhlHw_2lUGF6qvSEY4zNukZ3EGLmWrsa&usp=drive_copy,https://drive.google.com/open?id=1BJ6xm8qgIzwVxCh3k1N-5_XFvzVVPufm&usp=drive_copy,https://drive.google.com/open?id=1STVPGUDWrz0gfy1b_R-qSaT8Pdy78-gV&usp=drive_copy,https://drive.google.com/open?id=1GLTONZmZTeaMQdQecEdEDt_X1PymmX1k&usp=drive_copy
FW2HRA-109,FW2-HLX-A07,Helix Race 12s 13-52 Cassette,"Helix Race 12s Cassette - 13-52T, Eggplant",Helix Race | Cassette | 12 Speed | 13-52T | Eggplant,CONTINUED,"Optimize cadence and shifts under loads in steep terrain, with a Helix R 13-52T close ratio gearing cassette upgrade for your e-bike or MTB.","Helix R 12s 13-52T Cassettes are a new close-ratio gearing design, engineered specifically to optimize cadence and shift performance under load in steep terrain with frequent climbs and gravity-powered descents. While the close-ratio concept was conceived as a game changer for e-bikes and built exceptionally strong, it's equally at home on mountain bikes and weighs in at an impressive 467g. Offering unparalleled cross-compatibility with all Shimano, Sram, and TRP 12 drivetrains, it features e*thirteen's patented 2pc construction for ease of assembly and service.",Close ratio gearing cassette for optimized cadence and improved shifting under load,Lower fatigue and extended range (Bio or Battery) with sweet spot cadence for max efficiency,Helix R 13-15-17-19-22-25-28-32-36-40-45-52 vs Eagle™ 10-12-14-16-18-21-24-28-32-38-44-52,"Cross-compatibility with Shimano, SRAM, and TRP drivetrains and chains",Aluminum and Steel clusters can be replaced separately to reduce service cost,"Patented two-piece aluminum/steel construction for strength, stiffness, light weight, and durability",T,XD Driver,13-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"13,15,17,19,22,25,28,32,36,40,45,52",400%,7075 AL / Steel,467g,,Eggplant,5 Years,https://drive.google.com/open?id=1tgkLFla7mE5laMdonxeu5t5e4jE0zERx&usp=drive_copy,https://drive.google.com/open?id=1T_vaumL_0Wk3HgHh991FCPe7ogF2_U4t&usp=drive_copy,https://drive.google.com/open?id=1Y0Wwm9U8WUQymGFHbl3LXbqEBjTRe0PU&usp=drive_copy,https://drive.google.com/open?id=1WoFjthAOxWsaCfezg2THyQ6Dh9OHqI0Z&usp=drive_copy
FW2HRA-110,FW2-HLX-A07,Helix Race 12s 13-52 Cassette,"Helix Race 12s Cassette - 13-52T, Grey",Helix Race | Cassette | 12 Speed | 13-52T | Grey,CONTINUED,"Optimize cadence and shifts under loads in steep terrain, with a Helix R 13-52T close ratio gearing cassette upgrade for your e-bike or MTB.","Helix R 12s 13-52T Cassettes are a new close-ratio gearing design, engineered specifically to optimize cadence and shift performance under load in steep terrain with frequent climbs and gravity-powered descents. While the close-ratio concept was conceived as a game changer for e-bikes and built exceptionally strong, it's equally at home on mountain bikes and weighs in at an impressive 467g. Offering unparalleled cross-compatibility with all Shimano, Sram, and TRP 12 drivetrains, it features e*thirteen's patented 2pc construction for ease of assembly and service.",Close ratio gearing cassette for optimized cadence and improved shifting under load,Lower fatigue and extended range (Bio or Battery) with sweet spot cadence for max efficiency,Helix R 13-15-17-19-22-25-28-32-36-40-45-52 vs Eagle™ 10-12-14-16-18-21-24-28-32-38-44-52,"Cross-compatibility with Shimano, SRAM, and TRP drivetrains and chains",Aluminum and Steel clusters can be replaced separately to reduce service cost,"Patented two-piece aluminum/steel construction for strength, stiffness, light weight, and durability",T,XD Driver,13-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"13,15,17,19,22,25,28,32,36,40,45,52",400%,7075 AL / Steel,467g,,Grey,5 Years,https://drive.google.com/open?id=10-2GhwuvlLTzJlF8LqltQD10RblnX76O&usp=drive_copy,https://drive.google.com/open?id=1a14i7-Wu07C99ypMHDGj2JHlC-scRoaB&usp=drive_copy,https://drive.google.com/open?id=1njxfJEDI4SpLhHwUkYkdIfEfEHMVxdMA&usp=drive_copy,https://drive.google.com/open?id=1Ui__HadrCFGjmjlwGTYCl44ndq6Yw4yJ&usp=drive_copy
FW2HRA-111,FW2-HLX-A07,Helix Race 12s 13-52 Cassette,"Helix Race 12s Cassette - 13-52T, Intergalactic",Helix Race | Cassette | 12 Speed | 13-52T | Intergalactic,CONTINUED,"Optimize cadence and shifts under loads in steep terrain, with a Helix R 13-52T close ratio gearing cassette upgrade for your e-bike or MTB.","Helix R 12s 13-52T Cassettes are a new close-ratio gearing design, engineered specifically to optimize cadence and shift performance under load in steep terrain with frequent climbs and gravity-powered descents. While the close-ratio concept was conceived as a game changer for e-bikes and built exceptionally strong, it's equally at home on mountain bikes and weighs in at an impressive 467g. Offering unparalleled cross-compatibility with all Shimano, Sram, and TRP 12 drivetrains, it features e*thirteen's patented 2pc construction for ease of assembly and service.",Close ratio gearing cassette for optimized cadence and improved shifting under load,Lower fatigue and extended range (Bio or Battery) with sweet spot cadence for max efficiency,Helix R 13-15-17-19-22-25-28-32-36-40-45-52 vs Eagle™ 10-12-14-16-18-21-24-28-32-38-44-52,"Cross-compatibility with Shimano, SRAM, and TRP drivetrains and chains",Aluminum and Steel clusters can be replaced separately to reduce service cost,"Patented two-piece aluminum/steel construction for strength, stiffness, light weight, and durability",T,XD Driver,13-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"13,15,17,19,22,25,28,32,36,40,45,52",400%,7075 AL / Steel,489g,,Intergalactic,5 Years,https://drive.google.com/open?id=1lHw3n7R0hyhfH5dai8t0huZVSyeXNvMD&usp=drive_copy,https://drive.google.com/open?id=1XGO9UetXP-XScLZC1fpSibhEDuA7wiPo&usp=drive_copy,https://drive.google.com/open?id=1JQZ4ID2Ivs6BjEUaLcry0g0csNEqvNsp&usp=drive_copy,https://drive.google.com/open?id=1UlEufltl43JbNUqZpQmDboiDucGCGTPU&usp=drive_copy
FW2HRA-112,FW2-HLX-A07,Helix Race 12s 13-52 Cassette,"Helix Race 12s Cassette - 13-52T, Naranja",Helix Race | Cassette | 12 Speed | 13-52T | Naranja,CONTINUED,"Optimize cadence and shifts under loads in steep terrain, with a Helix R 13-52T close ratio gearing cassette upgrade for your e-bike or MTB.","Helix R 12s 13-52T Cassettes are a new close-ratio gearing design, engineered specifically to optimize cadence and shift performance under load in steep terrain with frequent climbs and gravity-powered descents. While the close-ratio concept was conceived as a game changer for e-bikes and built exceptionally strong, it's equally at home on mountain bikes and weighs in at an impressive 467g. Offering unparalleled cross-compatibility with all Shimano, Sram, and TRP 12 drivetrains, it features e*thirteen's patented 2pc construction for ease of assembly and service.",Close ratio gearing cassette for optimized cadence and improved shifting under load,Lower fatigue and extended range (Bio or Battery) with sweet spot cadence for max efficiency,Helix R 13-15-17-19-22-25-28-32-36-40-45-52 vs Eagle™ 10-12-14-16-18-21-24-28-32-38-44-52,"Cross-compatibility with Shimano, SRAM, and TRP drivetrains and chains",Aluminum and Steel clusters can be replaced separately to reduce service cost,"Patented two-piece aluminum/steel construction for strength, stiffness, light weight, and durability",T,XD Driver,13-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"13,15,17,19,22,25,28,32,36,40,45,52",400%,7075 AL / Steel,467g,,Naranja,5 Years,https://drive.google.com/open?id=133VI6clHqcw0BXoB-4IajnQ07VCDewYZ&usp=drive_copy,https://drive.google.com/open?id=1JJd281VSVGyNg9yvUn9_78jmAE4LirEg&usp=drive_copy,https://drive.google.com/open?id=1MA9lrPAOAJPM9RvuKwD4twHiXUTmLOvi&usp=drive_copy,https://drive.google.com/open?id=1jQctHQ4sXmI-7CSVcQXb6meIxWQW60Zd&usp=drive_copy
FW2HRA-118,FW2-HLX-A08,Helix Race 12s 9-52 Cassette,"Helix Race 12s Cassette - 9-52T, Intergalactic",Helix Race | Cassette | 12 Speed | 9-52T | Intergalactic,CONTINUED,"Get the widest range available, save weight, and futureproof your ride with e*thirteen cross-compatibility and serviceability.","Helix Race 12s 9-52T Cassettes deliver an industry-leading 578% gear range and precision shifting performance with Shimano, SRAM, and TRP 12s drivetrains. Love to grind climbs? Throw on a 28T chainring and go pull some stumps. Hungry for top speed? Push a big ring, comfortable in the knowledge that you’ve got the most gear range you can get from a single-ring, 12-speed setup. Helix Race 9-52T cassettes are light enough for weight-conscious trail bikes at just 392g, yet tough enough to take the abuse of high-powered e-bikes.",Widest range in the galaxy at 578%,"Cross compatibility with Shimano, SRAM, and TRP 12s drivetrains and chains",2-piece forged/machined design provides easy and affordable assembly/service and reduced waste,43-52t aluminum cluster backward compatible with 9-50T Helix Plus or Race cassettes,Unique 9T high gear allows use of smaller chainrings for clearance and weight savings,Tested extensively for MTB and e-bike use,T,XD Driver,9-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"9,11,13,15,17,20,23,27,31,36,43,52",578%,7075 AL / Steel,404g,,Intergalactic,5 Years,https://drive.google.com/open?id=1j7VUJFNp4yIXUl2ek4uutmCgQyxfiTIs&usp=drive_copy,https://drive.google.com/open?id=1jF8uVWhb_DWfiX4skGrsD4sFg2bn-Fer&usp=drive_copy,https://drive.google.com/open?id=1jHMspaPkvMv-SV4uD0H61kEwOpuRQds8&usp=drive_copy,https://drive.google.com/open?id=1ie67O6TXi2dtuwX3CBzcY47BSEYrii5k&usp=drive_copy
FW2HRA-119,FW2-HLX-A08,Helix Race 12s 9-52 Cassette,"Helix Race 12s Cassette - 9-52T, Bronze",Helix Race | Cassette | 12 Speed | 9-52T | Bronze,CONTINUED,"Get the widest range available, save weight, and futureproof your ride with e*thirteen cross-compatibility and serviceability.","Helix Race 12s 9-52T Cassettes deliver an industry-leading 578% gear range and precision shifting performance with Shimano, SRAM, and TRP 12s drivetrains. Love to grind climbs? Throw on a 28T chainring and go pull some stumps. Hungry for top speed? Push a big ring, comfortable in the knowledge that you’ve got the most gear range you can get from a single-ring, 12-speed setup. Helix Race 9-52T cassettes are light enough for weight-conscious trail bikes at just 392g, yet tough enough to take the abuse of high-powered e-bikes.",Widest range in the galaxy at 578%,"Cross compatibility with Shimano, SRAM, and TRP 12s drivetrains and chains",2-piece forged/machined design provides easy and affordable assembly/service and reduced waste,43-52t aluminum cluster backward compatible with 9-50T Helix Plus or Race cassettes,Unique 9T high gear allows use of smaller chainrings for clearance and weight savings,Tested extensively for MTB and e-bike use,T,XD Driver,9-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"9,11,13,15,17,20,23,27,31,36,43,52",578%,7075 AL / Steel,392g,,Bronze,5 Years,https://drive.google.com/open?id=1jWsvJW9CydMAgfFgh5KT7N-s5fOgWOc5&usp=drive_copy,https://drive.google.com/open?id=1jcreTSt2tBEddAjCIpLRH9hOCpPAUV44&usp=drive_copy,https://drive.google.com/open?id=1jtNXwOcZXedH9dEdeEZO6naIrVfwmqo1&usp=drive_copy,https://drive.google.com/open?id=1ibhmS2FFreL61G1u6o72vVt4_XHCI7C1&usp=drive_copy
FW2HRA-120,FW2-HLX-A08,Helix Race 12s 9-52 Cassette,"Helix Race 12s Cassette - 9-52T, Eggplant",Helix Race | Cassette | 12 Speed | 9-52T | Eggplant,CONTINUED,"Get the widest range available, save weight, and futureproof your ride with e*thirteen cross-compatibility and serviceability.","Helix Race 12s 9-52T Cassettes deliver an industry-leading 578% gear range and precision shifting performance with Shimano, SRAM, and TRP 12s drivetrains. Love to grind climbs? Throw on a 28T chainring and go pull some stumps. Hungry for top speed? Push a big ring, comfortable in the knowledge that you’ve got the most gear range you can get from a single-ring, 12-speed setup. Helix Race 9-52T cassettes are light enough for weight-conscious trail bikes at just 392g, yet tough enough to take the abuse of high-powered e-bikes.",Widest range in the galaxy at 578%,"Cross compatibility with Shimano, SRAM, and TRP 12s drivetrains and chains",2-piece forged/machined design provides easy and affordable assembly/service and reduced waste,43-52t aluminum cluster backward compatible with 9-50T Helix Plus or Race cassettes,Unique 9T high gear allows use of smaller chainrings for clearance and weight savings,Tested extensively for MTB and e-bike use,T,XD Driver,9-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"9,11,13,15,17,20,23,27,31,36,43,52",578%,7075 AL / Steel,392g,,Eggplant,5 Years,https://drive.google.com/open?id=1jOlNQSxfhjZR4NaPay3oyozyGsZlMuBU&usp=drive_copy,https://drive.google.com/open?id=1jf_JScV9dR0oZQLB2BqaSkUpCLXVB8vs&usp=drive_copy,https://drive.google.com/open?id=1jUcErQX1IAUPRKG1zIUOcrWL-MC2wPjH&usp=drive_copy,https://drive.google.com/open?id=1ikMYygG77U8dM0kT-vrqC96tv5TjUnUG&usp=drive_copy
FW2HRA-121,FW2-HLX-A08,Helix Race 12s 9-52 Cassette,"Helix Race 12s Cassette - 9-52T, Naranja",Helix Race | Cassette | 12 Speed | 9-52T | Naranja,CONTINUED,"Get the widest range available, save weight, and futureproof your ride with e*thirteen cross-compatibility and serviceability.","Helix Race 12s 9-52T Cassettes deliver an industry-leading 578% gear range and precision shifting performance with Shimano, SRAM, and TRP 12s drivetrains. Love to grind climbs? Throw on a 28T chainring and go pull some stumps. Hungry for top speed? Push a big ring, comfortable in the knowledge that you’ve got the most gear range you can get from a single-ring, 12-speed setup. Helix Race 9-52T cassettes are light enough for weight-conscious trail bikes at just 392g, yet tough enough to take the abuse of high-powered e-bikes.",Widest range in the galaxy at 578%,"Cross compatibility with Shimano, SRAM, and TRP 12s drivetrains and chains",2-piece forged/machined design provides easy and affordable assembly/service and reduced waste,43-52t aluminum cluster backward compatible with 9-50T Helix Plus or Race cassettes,Unique 9T high gear allows use of smaller chainrings for clearance and weight savings,Tested extensively for MTB and e-bike use,T,XD Driver,9-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"9,11,13,15,17,20,23,27,31,36,43,52",578%,7075 AL / Steel,392g,,Naranja,5 Years,https://drive.google.com/open?id=1j5qAllP28k748tbQpDTpZ6QST42w9I5f&usp=drive_copy,https://drive.google.com/open?id=1j4Qgg2Y_5BlRy6KRkECT3LNT9uBIO3p4&usp=drive_copy,https://drive.google.com/open?id=1j2sj5X-M87Zymfkt7G5Wd-D10o6W4DIt&usp=drive_copy,https://drive.google.com/open?id=1ieQhB6Tv8XOVwlSmoPn7BLdxDNBACbHF&usp=drive_copy
FW2HRA-122,FW2-HLX-A08,Helix Race 12s 9-52 Cassette,"Helix Race 12s Cassette - 9-52T, Grey",Helix Race | Cassette | 12 Speed | 9-52T | Grey,CONTINUED,"Get the widest range available, save weight, and futureproof your ride with e*thirteen cross-compatibility and serviceability.","Helix Race 12s 9-52T Cassettes deliver an industry-leading 578% gear range and precision shifting performance with Shimano, SRAM, and TRP 12s drivetrains. Love to grind climbs? Throw on a 28T chainring and go pull some stumps. Hungry for top speed? Push a big ring, comfortable in the knowledge that you’ve got the most gear range you can get from a single-ring, 12-speed setup. Helix Race 9-52T cassettes are light enough for weight-conscious trail bikes at just 392g, yet tough enough to take the abuse of high-powered e-bikes.",Widest range in the galaxy at 578%,"Cross compatibility with Shimano, SRAM, and TRP 12s drivetrains and chains",2-piece forged/machined design provides easy and affordable assembly/service and reduced waste,43-52t aluminum cluster backward compatible with 9-50T Helix Plus or Race cassettes,Unique 9T high gear allows use of smaller chainrings for clearance and weight savings,Tested extensively for MTB and e-bike use,T,XD Driver,9-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"9,11,13,15,17,20,23,27,31,36,43,52",578%,7075 AL / Steel,392g,,Grey,5 Years,https://drive.google.com/open?id=1jR0tOpatXClWQnLpePODS3BFTGX2uvAT&usp=drive_copy,https://drive.google.com/open?id=1jV8Z7gmu2z4F2-ZySAo_i0jm4fe4LI6z&usp=drive_copy,https://drive.google.com/open?id=1je0SNoCeeVaDYT2HwNcnsEq632TmG5YX&usp=drive_copy,https://drive.google.com/open?id=1i4ndjbpDLIji82r_Ysxst7SYnDt5w2Rc&usp=drive_copy
FW2HRA-123,FW2-HLX-A08,Helix Race 12s 9-52 Cassette,"Helix Race 12s Cassette - 9-52T, Black",Helix Race | Cassette | 12 Speed | 9-52T | Black,NEW,"Get the widest range available, save weight, and futureproof your ride with e*thirteen cross-compatibility and serviceability.","Helix Race 12s 9-52T Cassettes deliver an industry-leading 578% gear range and precision shifting performance with Shimano, SRAM, and TRP 12s drivetrains. Love to grind climbs? Throw on a 28T chainring and go pull some stumps. Hungry for top speed? Push a big ring, comfortable in the knowledge that you’ve got the most gear range you can get from a single-ring, 12-speed setup. Helix Race 9-52T cassettes are light enough for weight-conscious trail bikes at just 392g, yet tough enough to take the abuse of high-powered e-bikes.",Widest range in the galaxy at 578%,"Cross compatibility with Shimano, SRAM, and TRP 12s drivetrains and chains",2-piece forged/machined design provides easy and affordable assembly/service and reduced waste,43-52t aluminum cluster backward compatible with 9-50T Helix Plus or Race cassettes,Unique 9T high gear allows use of smaller chainrings for clearance and weight savings,Tested extensively for MTB and e-bike use,T,XD Driver,9-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"9,11,13,15,17,20,23,27,31,36,43,52",578%,7075 AL / Steel,392g,,Black,6 Years,https://drive.google.com/open?id=1yD67HnevZmXxlM9ACfF37vV-OQpEbWDE&usp=drive_copy,https://drive.google.com/open?id=1sgVpxuWkAL1IynxxtBeX5q_QAxocFfzR&usp=drive_copy,https://drive.google.com/open?id=1KkDgcBbStaNLvONykDxKUAPNyGUoBjVU&usp=drive_copy,https://drive.google.com/open?id=10XWbIuc-jcO5-6kghWMGOU6hAFxYsKUb&usp=drive_copy
FW2HRA-124,FW2-HLX-A07,Helix Race 12s 13-52 Cassette,"Helix Race 12s Cassette - 13-52T, Black",Helix Race | Cassette | 12 Speed | 13-52T | Black,NEW,"Optimize cadence and shifts under loads in steep terrain, with a Helix R 13-52T close ratio gearing cassette upgrade for your e-bike or MTB.","Helix R 12s 13-52T Cassettes are a new close-ratio gearing design, engineered specifically to optimize cadence and shift performance under load in steep terrain with frequent climbs and gravity-powered descents. While the close-ratio concept was conceived as a game changer for e-bikes and built exceptionally strong, it's equally at home on mountain bikes and weighs in at an impressive 467g. Offering unparalleled cross-compatibility with all Shimano, Sram, and TRP 12 drivetrains, it features e*thirteen's patented 2pc construction for ease of assembly and service.",Close ratio gearing cassette for optimized cadence and improved shifting under load,Lower fatigue and extended range (Bio or Battery) with sweet spot cadence for max efficiency,Helix R 13-15-17-19-22-25-28-32-36-40-45-52 vs Eagle™ 10-12-14-16-18-21-24-28-32-38-44-52,"Cross-compatibility with Shimano, SRAM, and TRP drivetrains and chains",Aluminum and Steel clusters can be replaced separately to reduce service cost,"Patented two-piece aluminum/steel construction for strength, stiffness, light weight, and durability",T,XD Driver,13-52T,12 spd,10 Steel / 2 Alloy Cogs,Shimano/Sram/Trp 12sp,"13,15,17,19,22,25,28,32,36,40,45,52",400%,7075 AL / Steel,467g,,Black,6 Years,https://drive.google.com/open?id=1J1Lql-8XQrT0kBQ3qG_D5HFh_8Fe6G0T&usp=drive_copy,https://drive.google.com/open?id=1xaQZlgdCT6IFOAYXj28hl9F1iYyWFlRR&usp=drive_copy,https://drive.google.com/open?id=1BdF7kt7Z5Nki9Zpa13pqPEi_ArqR1tjb&usp=drive_copy,https://drive.google.com/open?id=1p2pzoSIL9LosrmKCrqLL8OPIrzQYEa2h&usp=drive_copy
FW2TPA-101,FW2-TRS-P01,TRS Plus 11s 9-46 Cassette,"TRS Plus 11s Cassette - 9-46T, Black",TRS Plus | Cassette | 9-46T | 11 Speed | Black,CONTINUED,A super-tough yet weight-conscious cassette solution for 11-speed MTB and e-MTB applications.,"Gen 2 TRS Plus 11s 9-46T Cassettes feature a 10 steel cogs / 1 alloy cog, 2-piece design, for dramatically increased strength and long-term durability, making them an ideal choice for e-bikes. The unique assembly means ease of installation and service with lower cost and less waste. Updated shift features improve precision shifting and e*thirteen's proprietary 9T smallest cog facilitates the use of smaller chainrings for better clearance and lower overall weight. The impressive 511% range provides a serious upgrade for hardcore 11-speed fans.",e*spec rated with a revised design for improved strength and durability,9T high gear allows use of smaller chainrings for clearance and weight savings,2-piece forged/machined design provides easy and affordable assembly/service and ability to replace individual clusters separately,Wide 511% upgrade option for 11-speed drivetrain,XD Driver required,,T,XD Driver,9-46T,11 spd,10 Steel / 1 Alloy Cogs,Shimano/Sram/Trp 11sp,"9,10,12,14,17,20,24,28,33,39,46",511%,7075 AL / Steel,403g,,Black,5 Years,https://drive.google.com/open?id=1Jex-AC5WzgmrFw-7u-OkQPXW0XpufJ9b&usp=drive_copy,https://drive.google.com/open?id=1AyeMlVc7ERkiYYyAQKAiOx0YzkM2dyOJ&usp=drive_copy,,https://drive.google.com/open?id=19zH2uKyt-Jxr1QN7WLkNjnd02QpFI_K_&usp=drive_copy
